Catégorie : Toutes catégories

Semaine,Apple: (Dans tous les pays)
2019-12-29,6
2020-01-05,5
2020-01-12,6
2020-01-19,4
2020-01-26,5
2020-02-02,4
2020-02-09,5
2020-02-16,6
2020-02-23,6
2020-03-01,9
2020-03-08,6
2020-03-15,7
2020-03-22,7
2020-03-29,10
2020-04-05,14
2020-04-12,29
2020-04-19,23
2020-04-26,26
2020-05-03,26
2020-05-10,23
2020-05-17,24
2020-05-24,22
2020-05-31,21
2020-06-07,23
2020-06-14,21
2020-06-21,32
2020-06-28,26
2020-07-05,24
2020-07-12,25
2020-07-19,23
2020-07-26,25
2020-08-02,29
2020-08-09,30
2020-08-16,32
2020-08-23,35
2020-08-30,37
2020-09-06,52
2020-09-13,81
2020-09-20,43
2020-09-27,40
2020-10-04,42
2020-10-11,65
2020-10-18,34
2020-10-25,30
2020-11-01,30
2020-11-08,36
2020-11-15,33
2020-11-22,32
2020-11-29,31
2020-12-06,36
2020-12-13,30
2020-12-20,31
2020-12-27,29
2021-01-03,29
2021-01-10,35
2021-01-17,28
2021-01-24,35
2021-01-31,32
2021-02-07,32
2021-02-14,44
2021-02-21,34
2021-02-28,38
2021-03-07,41
2021-03-14,43
2021-03-21,41
2021-03-28,36
2021-04-04,36
2021-04-11,36
2021-04-18,58
2021-04-25,44
2021-05-02,37
2021-05-09,32
2021-05-16,32
2021-05-23,30
2021-05-30,33
2021-06-06,46
2021-06-13,40
2021-06-20,37
2021-06-27,32
2021-07-04,35
2021-07-11,27
2021-07-18,28
2021-07-25,34
2021-08-01,38
2021-08-08,41
2021-08-15,43
2021-08-22,42
2021-08-29,58
2021-09-05,68
2021-09-12,85
2021-09-19,64
2021-09-26,50
2021-10-03,53
2021-10-10,62
2021-10-17,74
2021-10-24,52
2021-10-31,45
2021-11-07,41
2021-11-14,43
2021-11-21,47
2021-11-28,45
2021-12-05,46
2021-12-12,45
2021-12-19,43
2021-12-26,45
2022-01-02,46
2022-01-09,45
2022-01-16,41
2022-01-23,50
2022-01-30,41
2022-02-06,40
2022-02-13,39
2022-02-20,37
2022-02-27,44
2022-03-06,56
2022-03-13,35
2022-03-20,48
2022-03-27,39
2022-04-03,37
2022-04-10,35
2022-04-17,39
2022-04-24,37
2022-05-01,37
2022-05-08,38
2022-05-15,35
2022-05-22,35
2022-05-29,34
2022-06-05,52
2022-06-12,34
2022-06-19,34
2022-06-26,32
2022-07-03,31
2022-07-10,37
2022-07-17,35
2022-07-24,37
2022-07-31,33
2022-08-07,36
2022-08-14,48
2022-08-21,46
2022-08-28,38
2022-09-04,92
2022-09-11,51
2022-09-18,50
2022-09-25,52
2022-10-02,43
2022-10-09,47
2022-10-16,49
2022-10-23,55
2022-10-30,40
2022-11-06,37
2022-11-13,38
2022-11-20,45
2022-11-27,47
2022-12-04,40
2022-12-11,35
2022-12-18,37
2022-12-25,39
2023-01-01,36
2023-01-08,39
2023-01-15,40
2023-01-22,38
2023-01-29,42
2023-02-05,33
2023-02-12,35
2023-02-19,35
2023-02-26,31
2023-03-05,33
2023-03-12,33
2023-03-19,32
2023-03-26,32
2023-04-02,34
2023-04-09,33
2023-04-16,40
2023-04-23,32
2023-04-30,36
2023-05-07,33
2023-05-14,32
2023-05-21,30
2023-05-28,32
2023-06-04,78
2023-06-11,36
2023-06-18,32
2023-06-25,33
2023-07-02,36
2023-07-09,37
2023-07-16,37
2023-07-23,36
2023-07-30,35
2023-08-06,39
2023-08-13,37
2023-08-20,35
2023-08-27,42
2023-09-03,47
2023-09-10,100
2023-09-17,49
2023-09-24,42
2023-10-01,37
2023-10-08,31
2023-10-15,40
2023-10-22,40
2023-10-29,48
2023-11-05,38
2023-11-12,36
2023-11-19,35
2023-11-26,35
2023-12-03,34
2023-12-10,36
2023-12-17,50
2023-12-24,51
2023-12-31,43
2024-01-07,46
2024-01-14,49
2024-01-21,46
2024-01-28,49
2024-02-04,64
2024-02-11,49
2024-02-18,47
2024-02-25,49
2024-03-03,67
2024-03-10,47
2024-03-17,53
2024-03-24,54
2024-03-31,48
2024-04-07,53
2024-04-14,46
2024-04-21,53
2024-04-28,65
