Catégorie : Toutes catégories

Semaine,Bitcoin: (Dans tous les pays)
2019-12-29,13
2020-01-05,17
2020-01-12,19
2020-01-19,16
2020-01-26,16
2020-02-02,18
2020-02-09,20
2020-02-16,17
2020-02-23,14
2020-03-01,13
2020-03-08,21
2020-03-15,14
2020-03-22,13
2020-03-29,11
2020-04-05,13
2020-04-12,13
2020-04-19,15
2020-04-26,19
2020-05-03,22
2020-05-10,30
2020-05-17,16
2020-05-24,15
2020-05-31,13
2020-06-07,14
2020-06-14,12
2020-06-21,13
2020-06-28,11
2020-07-05,10
2020-07-12,13
2020-07-19,11
2020-07-26,22
2020-08-02,17
2020-08-09,13
2020-08-16,14
2020-08-23,13
2020-08-30,17
2020-09-06,12
2020-09-13,11
2020-09-20,11
2020-09-27,10
2020-10-04,10
2020-10-11,11
2020-10-18,18
2020-10-25,19
2020-11-01,19
2020-11-08,17
2020-11-15,26
2020-11-22,29
2020-11-29,25
2020-12-06,20
2020-12-13,37
2020-12-20,34
2020-12-27,44
2021-01-03,63
2021-01-10,63
2021-01-17,41
2021-01-24,36
2021-01-31,34
2021-02-07,74
2021-02-14,69
2021-02-21,72
2021-02-28,47
2021-03-07,67
2021-03-14,63
2021-03-21,39
2021-03-28,35
2021-04-04,32
2021-04-11,38
2021-04-18,77
2021-04-25,46
2021-05-02,34
2021-05-09,48
2021-05-16,100
2021-05-23,61
2021-05-30,38
2021-06-06,60
2021-06-13,41
2021-06-20,52
2021-06-27,32
2021-07-04,29
2021-07-11,37
2021-07-18,44
2021-07-25,47
2021-08-01,35
2021-08-08,35
2021-08-15,26
2021-08-22,27
2021-08-29,20
2021-09-05,43
2021-09-12,16
2021-09-19,38
2021-09-26,27
2021-10-03,31
2021-10-10,32
2021-10-17,45
2021-10-24,30
2021-10-31,26
2021-11-07,32
2021-11-14,38
2021-11-21,30
2021-11-28,39
2021-12-05,30
2021-12-12,31
2021-12-19,22
2021-12-26,22
2022-01-02,33
2022-01-09,29
2022-01-16,43
2022-01-23,42
2022-01-30,27
2022-02-06,28
2022-02-13,25
2022-02-20,29
2022-02-27,25
2022-03-06,21
2022-03-13,20
2022-03-20,19
2022-03-27,24
2022-04-03,22
2022-04-10,18
2022-04-17,17
2022-04-24,20
2022-05-01,21
2022-05-08,48
2022-05-15,23
2022-05-22,21
2022-05-29,18
2022-06-05,18
2022-06-12,59
2022-06-19,31
2022-06-26,24
2022-07-03,21
2022-07-10,19
2022-07-17,21
2022-07-24,15
2022-07-31,15
2022-08-07,15
2022-08-14,15
2022-08-21,14
2022-08-28,13
2022-09-04,15
2022-09-11,13
2022-09-18,14
2022-09-25,13
2022-10-02,11
2022-10-09,13
2022-10-16,10
2022-10-23,13
2022-10-30,11
2022-11-06,30
2022-11-13,22
2022-11-20,18
2022-11-27,15
2022-12-04,13
2022-12-11,15
2022-12-18,12
2022-12-25,12
2023-01-01,12
2023-01-08,17
2023-01-15,15
2023-01-22,13
2023-01-29,14
2023-02-05,12
2023-02-12,15
2023-02-19,12
2023-02-26,12
2023-03-05,15
2023-03-12,22
2023-03-19,18
2023-03-26,16
2023-04-02,14
2023-04-09,18
2023-04-16,15
2023-04-23,13
2023-04-30,13
2023-05-07,17
2023-05-14,10
2023-05-21,11
2023-05-28,11
2023-06-04,14
2023-06-11,12
2023-06-18,20
2023-06-25,17
2023-07-02,16
2023-07-09,17
2023-07-16,16
2023-07-23,14
2023-07-30,14
2023-08-06,15
2023-08-13,21
2023-08-20,16
2023-08-27,17
2023-09-03,15
2023-09-10,15
2023-09-17,14
2023-09-24,16
2023-10-01,14
2023-10-08,13
2023-10-15,20
2023-10-22,32
2023-10-29,18
2023-11-05,23
2023-11-12,22
2023-11-19,19
2023-11-26,20
2023-12-03,32
2023-12-10,24
2023-12-17,24
2023-12-24,23
2023-12-31,47
2024-01-07,98
2024-01-14,24
2024-01-21,22
2024-01-28,18
2024-02-04,20
2024-02-11,28
2024-02-18,21
2024-02-25,52
2024-03-03,61
2024-03-10,48
2024-03-17,36
2024-03-24,31
2024-03-31,30
2024-04-07,38
2024-04-14,51
2024-04-21,29
2024-04-28,30
