Catégorie : Toutes catégories

Semaine,MacBook: (Dans tous les pays)
2019-12-29,63
2020-01-05,63
2020-01-12,66
2020-01-19,64
2020-01-26,61
2020-02-02,57
2020-02-09,62
2020-02-16,63
2020-02-23,59
2020-03-01,60
2020-03-08,60
2020-03-15,84
2020-03-22,93
2020-03-29,92
2020-04-05,91
2020-04-12,93
2020-04-19,98
2020-04-26,95
2020-05-03,99
2020-05-10,91
2020-05-17,87
2020-05-24,83
2020-05-31,84
2020-06-07,81
2020-06-14,79
2020-06-21,81
2020-06-28,74
2020-07-05,76
2020-07-12,78
2020-07-19,80
2020-07-26,78
2020-08-02,81
2020-08-09,83
2020-08-16,88
2020-08-23,87
2020-08-30,86
2020-09-06,85
2020-09-13,82
2020-09-20,77
2020-09-27,72
2020-10-04,73
2020-10-11,72
2020-10-18,67
2020-10-25,66
2020-11-01,61
2020-11-08,83
2020-11-15,87
2020-11-22,87
2020-11-29,79
2020-12-06,79
2020-12-13,71
2020-12-20,75
2020-12-27,75
2021-01-03,79
2021-01-10,75
2021-01-17,72
2021-01-24,74
2021-01-31,73
2021-02-07,71
2021-02-14,69
2021-02-21,71
2021-02-28,70
2021-03-07,66
2021-03-14,64
2021-03-21,66
2021-03-28,63
2021-04-04,63
2021-04-11,62
2021-04-18,65
2021-04-25,67
2021-05-02,63
2021-05-09,60
2021-05-16,63
2021-05-23,62
2021-05-30,63
2021-06-06,63
2021-06-13,62
2021-06-20,65
2021-06-27,61
2021-07-04,62
2021-07-11,63
2021-07-18,64
2021-07-25,64
2021-08-01,64
2021-08-08,68
2021-08-15,72
2021-08-22,75
2021-08-29,71
2021-09-05,76
2021-09-12,81
2021-09-19,77
2021-09-26,75
2021-10-03,74
2021-10-10,74
2021-10-17,100
2021-10-24,75
2021-10-31,77
2021-11-07,78
2021-11-14,81
2021-11-21,92
2021-11-28,81
2021-12-05,79
2021-12-12,71
2021-12-19,74
2021-12-26,80
2022-01-02,87
2022-01-09,86
2022-01-16,81
2022-01-23,82
2022-01-30,85
2022-02-06,86
2022-02-13,84
2022-02-20,78
2022-02-27,79
2022-03-06,82
2022-03-13,81
2022-03-20,76
2022-03-27,76
2022-04-03,81
2022-04-10,73
2022-04-17,73
2022-04-24,74
2022-05-01,71
2022-05-08,68
2022-05-15,67
2022-05-22,65
2022-05-29,63
2022-06-05,88
2022-06-12,72
2022-06-19,75
2022-06-26,75
2022-07-03,74
2022-07-10,81
2022-07-17,81
2022-07-24,81
2022-07-31,79
2022-08-07,79
2022-08-14,84
2022-08-21,83
2022-08-28,82
2022-09-04,80
2022-09-11,83
2022-09-18,80
2022-09-25,77
2022-10-02,73
2022-10-09,76
2022-10-16,73
2022-10-23,75
2022-10-30,74
2022-11-06,70
2022-11-13,76
2022-11-20,80
2022-11-27,77
2022-12-04,68
2022-12-11,72
2022-12-18,70
2022-12-25,75
2023-01-01,80
2023-01-08,79
2023-01-15,83
2023-01-22,77
2023-01-29,80
2023-02-05,77
2023-02-12,71
2023-02-19,73
2023-02-26,72
2023-03-05,72
2023-03-12,71
2023-03-19,73
2023-03-26,69
2023-04-02,69
2023-04-09,66
2023-04-16,66
2023-04-23,65
2023-04-30,67
2023-05-07,61
2023-05-14,66
2023-05-21,62
2023-05-28,66
2023-06-04,74
2023-06-11,73
2023-06-18,68
2023-06-25,73
2023-07-02,71
2023-07-09,72
2023-07-16,75
2023-07-23,69
2023-07-30,75
2023-08-06,77
2023-08-13,81
2023-08-20,79
2023-08-27,78
2023-09-03,79
2023-09-10,80
2023-09-17,82
2023-09-24,79
2023-10-01,80
2023-10-08,75
2023-10-15,74
2023-10-22,76
2023-10-29,85
2023-11-05,84
2023-11-12,85
2023-11-19,92
2023-11-26,82
2023-12-03,73
2023-12-10,74
2023-12-17,76
2023-12-24,80
2023-12-31,78
2024-01-07,79
2024-01-14,79
2024-01-21,75
2024-01-28,77
2024-02-04,73
2024-02-11,59
2024-02-18,63
2024-02-25,67
2024-03-03,85
2024-03-10,84
2024-03-17,81
2024-03-24,81
2024-03-31,79
2024-04-07,77
2024-04-14,78
2024-04-21,75
2024-04-28,72
