Catégorie : Toutes catégories

Semaine,Meta: (Dans tous les pays)
2019-12-29,6
2020-01-05,5
2020-01-12,6
2020-01-19,6
2020-01-26,7
2020-02-02,6
2020-02-09,5
2020-02-16,7
2020-02-23,7
2020-03-01,7
2020-03-08,6
2020-03-15,7
2020-03-22,7
2020-03-29,6
2020-04-05,8
2020-04-12,5
2020-04-19,2
2020-04-26,4
2020-05-03,3
2020-05-10,3
2020-05-17,2
2020-05-24,3
2020-05-31,1
2020-06-07,2
2020-06-14,3
2020-06-21,4
2020-06-28,5
2020-07-05,4
2020-07-12,3
2020-07-19,3
2020-07-26,4
2020-08-02,3
2020-08-09,3
2020-08-16,4
2020-08-23,4
2020-08-30,4
2020-09-06,4
2020-09-13,3
2020-09-20,2
2020-09-27,2
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,2
2020-11-01,1
2020-11-08,1
2020-11-15,2
2020-11-22,1
2020-11-29,2
2020-12-06,2
2020-12-13,2
2020-12-20,2
2020-12-27,2
2021-01-03,2
2021-01-10,5
2021-01-17,3
2021-01-24,4
2021-01-31,3
2021-02-07,5
2021-02-14,10
2021-02-21,7
2021-02-28,7
2021-03-07,7
2021-03-14,7
2021-03-21,9
2021-03-28,9
2021-04-04,13
2021-04-11,10
2021-04-18,8
2021-04-25,10
2021-05-02,8
2021-05-09,10
2021-05-16,10
2021-05-23,16
2021-05-30,12
2021-06-06,11
2021-06-13,10
2021-06-20,6
2021-06-27,7
2021-07-04,7
2021-07-11,11
2021-07-18,11
2021-07-25,9
2021-08-01,7
2021-08-08,7
2021-08-15,11
2021-08-22,15
2021-08-29,17
2021-09-05,15
2021-09-12,10
2021-09-19,17
2021-09-26,16
2021-10-03,100
2021-10-10,19
2021-10-17,24
2021-10-24,34
2021-10-31,30
2021-11-07,30
2021-11-14,20
2021-11-21,20
2021-11-28,18
2021-12-05,18
2021-12-12,17
2021-12-19,19
2021-12-26,18
2022-01-02,17
2022-01-09,18
2022-01-16,22
2022-01-23,18
2022-01-30,28
2022-02-06,30
2022-02-13,23
2022-02-20,19
2022-02-27,22
2022-03-06,17
2022-03-13,16
2022-03-20,16
2022-03-27,17
2022-04-03,17
2022-04-10,16
2022-04-17,18
2022-04-24,20
2022-05-01,16
2022-05-08,26
2022-05-15,27
2022-05-22,18
2022-05-29,14
2022-06-05,15
2022-06-12,15
2022-06-19,14
2022-06-26,15
2022-07-03,13
2022-07-10,16
2022-07-17,21
2022-07-24,23
2022-07-31,23
2022-08-07,21
2022-08-14,19
2022-08-21,23
2022-08-28,19
2022-09-04,15
2022-09-11,24
2022-09-18,30
2022-09-25,14
2022-10-02,19
2022-10-09,13
2022-10-16,12
2022-10-23,22
2022-10-30,18
2022-11-06,22
2022-11-13,12
2022-11-20,9
2022-11-27,8
2022-12-04,8
2022-12-11,8
2022-12-18,15
2022-12-25,24
2023-01-01,20
2023-01-08,25
2023-01-15,23
2023-01-22,23
2023-01-29,28
2023-02-05,24
2023-02-12,23
2023-02-19,25
2023-02-26,23
2023-03-05,13
2023-03-12,7
2023-03-19,6
2023-03-26,7
2023-04-02,8
2023-04-09,9
2023-04-16,9
2023-04-23,10
2023-04-30,9
2023-05-07,11
2023-05-14,7
2023-05-21,7
2023-05-28,7
2023-06-04,7
2023-06-11,7
2023-06-18,7
2023-06-25,8
2023-07-02,10
2023-07-09,7
2023-07-16,8
2023-07-23,8
2023-07-30,7
2023-08-06,7
2023-08-13,7
2023-08-20,7
2023-08-27,7
2023-09-03,7
2023-09-10,7
2023-09-17,7
2023-09-24,7
2023-10-01,7
2023-10-08,6
2023-10-15,7
2023-10-22,6
2023-10-29,6
2023-11-05,7
2023-11-12,6
2023-11-19,6
2023-11-26,6
2023-12-03,5
2023-12-10,6
2023-12-17,5
2023-12-24,5
2023-12-31,5
2024-01-07,5
2024-01-14,4
2024-01-21,4
2024-01-28,7
2024-02-04,6
2024-02-11,5
2024-02-18,4
2024-02-25,4
2024-03-03,28
2024-03-10,4
2024-03-17,4
2024-03-24,4
2024-03-31,5
2024-04-07,4
2024-04-14,5
2024-04-21,7
2024-04-28,4
