Catégorie : Toutes catégories

Semaine,Microsoft: (Dans tous les pays)
2019-12-29,21
2020-01-05,25
2020-01-12,44
2020-01-19,39
2020-01-26,36
2020-02-02,37
2020-02-09,37
2020-02-16,39
2020-02-23,34
2020-03-01,30
2020-03-08,24
2020-03-15,28
2020-03-22,30
2020-03-29,33
2020-04-05,35
2020-04-12,41
2020-04-19,40
2020-04-26,44
2020-05-03,41
2020-05-10,40
2020-05-17,41
2020-05-24,37
2020-05-31,32
2020-06-07,36
2020-06-14,38
2020-06-21,41
2020-06-28,38
2020-07-05,38
2020-07-12,43
2020-07-19,56
2020-07-26,54
2020-08-02,67
2020-08-09,46
2020-08-16,44
2020-08-23,48
2020-08-30,47
2020-09-06,40
2020-09-13,43
2020-09-20,66
2020-09-27,79
2020-10-04,43
2020-10-11,34
2020-10-18,37
2020-10-25,39
2020-11-01,29
2020-11-08,37
2020-11-15,33
2020-11-22,29
2020-11-29,37
2020-12-06,32
2020-12-13,37
2020-12-20,24
2020-12-27,57
2021-01-03,33
2021-01-10,34
2021-01-17,30
2021-01-24,47
2021-01-31,34
2021-02-07,33
2021-02-14,30
2021-02-21,28
2021-02-28,38
2021-03-07,39
2021-03-14,60
2021-03-21,37
2021-03-28,37
2021-04-04,32
2021-04-11,39
2021-04-18,31
2021-04-25,41
2021-05-02,30
2021-05-09,35
2021-05-16,32
2021-05-23,27
2021-05-30,25
2021-06-06,30
2021-06-13,29
2021-06-20,36
2021-06-27,27
2021-07-04,30
2021-07-11,30
2021-07-18,25
2021-07-25,26
2021-08-01,21
2021-08-08,21
2021-08-15,22
2021-08-22,30
2021-08-29,26
2021-09-05,30
2021-09-12,23
2021-09-19,28
2021-09-26,31
2021-10-03,32
2021-10-10,28
2021-10-17,28
2021-10-24,31
2021-10-31,39
2021-11-07,31
2021-11-14,34
2021-11-21,24
2021-11-28,28
2021-12-05,27
2021-12-12,32
2021-12-19,24
2021-12-26,19
2022-01-02,30
2022-01-09,33
2022-01-16,100
2022-01-23,63
2022-01-30,39
2022-02-06,37
2022-02-13,39
2022-02-20,27
2022-02-27,34
2022-03-06,33
2022-03-13,31
2022-03-20,29
2022-03-27,32
2022-04-03,32
2022-04-10,28
2022-04-17,29
2022-04-24,43
2022-05-01,29
2022-05-08,31
2022-05-15,31
2022-05-22,30
2022-05-29,31
2022-06-05,32
2022-06-12,35
2022-06-19,29
2022-06-26,24
2022-07-03,25
2022-07-10,31
2022-07-17,52
2022-07-24,36
2022-07-31,29
2022-08-07,28
2022-08-14,29
2022-08-21,27
2022-08-28,26
2022-09-04,29
2022-09-11,29
2022-09-18,30
2022-09-25,26
2022-10-02,27
2022-10-09,32
2022-10-16,39
2022-10-23,43
2022-10-30,30
2022-11-06,31
2022-11-13,33
2022-11-20,24
2022-11-27,33
2022-12-04,32
2022-12-11,31
2022-12-18,29
2022-12-25,26
2023-01-01,33
2023-01-08,46
2023-01-15,56
2023-01-22,96
2023-01-29,39
2023-02-05,56
2023-02-12,42
2023-02-19,40
2023-02-26,37
2023-03-05,42
2023-03-12,43
2023-03-19,42
2023-03-26,42
2023-04-02,38
2023-04-09,30
2023-04-16,37
2023-04-23,58
2023-04-30,35
2023-05-07,36
2023-05-14,41
2023-05-21,41
2023-05-28,31
2023-06-04,42
2023-06-11,42
2023-06-18,34
2023-06-25,39
2023-07-02,37
2023-07-09,63
2023-07-16,54
2023-07-23,50
2023-07-30,36
2023-08-06,31
2023-08-13,31
2023-08-20,31
2023-08-27,33
2023-09-03,32
2023-09-10,33
2023-09-17,44
2023-09-24,39
2023-10-01,35
2023-10-08,38
2023-10-15,37
2023-10-22,44
2023-10-29,35
2023-11-05,33
2023-11-12,39
2023-11-19,53
2023-11-26,36
2023-12-03,33
2023-12-10,33
2023-12-17,29
2023-12-24,32
2023-12-31,28
2024-01-07,38
2024-01-14,42
2024-01-21,51
2024-01-28,55
2024-02-04,43
2024-02-11,47
2024-02-18,43
2024-02-25,43
2024-03-03,46
2024-03-10,57
2024-03-17,44
2024-03-24,46
2024-03-31,57
2024-04-07,39
2024-04-14,48
2024-04-21,57
2024-04-28,48
