"DateTime";"IPhone[en]"
"2008-01-01 00:00:00";5796
"2008-01-02 00:00:00";6701
"2008-01-03 00:00:00";7752
"2008-01-04 00:00:00";6959
"2008-01-05 00:00:00";5917
"2008-01-06 00:00:00";6508
"2008-01-07 00:00:00";7081
"2008-01-08 00:00:00";7513
"2008-01-09 00:00:00";7223
"2008-01-10 00:00:00";7367
"2008-01-11 00:00:00";7285
"2008-01-12 00:00:00";6284
"2008-01-13 00:00:00";6158
"2008-01-14 00:00:00";7957
"2008-01-15 00:00:00";9645
"2008-01-16 00:00:00";9944
"2008-01-17 00:00:00";8739
"2008-01-18 00:00:00";7589
"2008-01-19 00:00:00";6929
"2008-01-20 00:00:00";7423
"2008-01-21 00:00:00";8349
"2008-01-22 00:00:00";7366
"2008-01-23 00:00:00";7452
"2008-01-24 00:00:00";7561
"2008-01-25 00:00:00";7258
"2008-01-26 00:00:00";6382
"2008-01-27 00:00:00";6047
"2008-01-28 00:00:00";7436
"2008-01-29 00:00:00";7616
"2008-01-30 00:00:00";7343
"2008-01-31 00:00:00";6802
"2008-02-01 00:00:00";6437
"2008-02-02 00:00:00";5252
"2008-02-03 00:00:00";5668
"2008-02-04 00:00:00";6367
"2008-02-05 00:00:00";7500
"2008-02-06 00:00:00";9412
"2008-02-07 00:00:00";7399
"2008-02-08 00:00:00";6852
"2008-02-09 00:00:00";5994
"2008-02-10 00:00:00";6240
"2008-02-11 00:00:00";8277
"2008-02-12 00:00:00";7501
"2008-02-13 00:00:00";6929
"2008-02-14 00:00:00";6339
"2008-02-15 00:00:00";6013
"2008-02-16 00:00:00";5553
"2008-02-17 00:00:00";5559
"2008-02-18 00:00:00";6982
"2008-02-19 00:00:00";5734
"2008-02-20 00:00:00";6535
"2008-02-21 00:00:00";6406
"2008-02-22 00:00:00";6151
"2008-02-23 00:00:00";5207
"2008-02-24 00:00:00";5529
"2008-02-25 00:00:00";6865
"2008-02-26 00:00:00";6759
"2008-02-27 00:00:00";7093
"2008-02-28 00:00:00";7200
"2008-02-29 00:00:00";6409
"2008-03-01 00:00:00";5729
"2008-03-02 00:00:00";5862
"2008-03-03 00:00:00";4320
"2008-03-04 00:00:00";2605
"2008-03-05 00:00:00";6771
"2008-03-06 00:00:00";8193
"2008-03-07 00:00:00";9707
"2008-03-08 00:00:00";7222
"2008-03-09 00:00:00";7224
"2008-03-10 00:00:00";7915
"2008-03-11 00:00:00";7662
"2008-03-12 00:00:00";7893
"2008-03-13 00:00:00";7220
"2008-03-14 00:00:00";7223
"2008-03-15 00:00:00";6245
"2008-03-16 00:00:00";6576
"2008-03-17 00:00:00";7515
"2008-03-18 00:00:00";7116
"2008-03-19 00:00:00";7558
"2008-03-20 00:00:00";7941
"2008-03-21 00:00:00";6227
"2008-03-22 00:00:00";5989
"2008-03-23 00:00:00";6537
"2008-03-24 00:00:00";7792
"2008-03-25 00:00:00";7575
"2008-03-26 00:00:00";7429
