"DateTime";"MacBook[en]"
"2008-01-01 00:00:00";905
"2008-01-02 00:00:00";1172
"2008-01-03 00:00:00";1242
"2008-01-04 00:00:00";1140
"2008-01-05 00:00:00";1040
"2008-01-06 00:00:00";1196
"2008-01-07 00:00:00";1175
"2008-01-08 00:00:00";1327
"2008-01-09 00:00:00";1290
"2008-01-10 00:00:00";1238
"2008-01-11 00:00:00";1166
"2008-01-12 00:00:00";1202
"2008-01-13 00:00:00";1284
"2008-01-14 00:00:00";1440
"2008-01-15 00:00:00";3123
"2008-01-16 00:00:00";5505
"2008-01-17 00:00:00";3987
"2008-01-18 00:00:00";2732
"2008-01-19 00:00:00";2388
"2008-01-20 00:00:00";2088
"2008-01-21 00:00:00";1992
"2008-01-22 00:00:00";2015
"2008-01-23 00:00:00";1660
"2008-01-24 00:00:00";2163
"2008-01-25 00:00:00";1676
"2008-01-26 00:00:00";1576
"2008-01-27 00:00:00";1501
"2008-01-28 00:00:00";1622
"2008-01-29 00:00:00";1628
"2008-01-30 00:00:00";1672
"2008-01-31 00:00:00";1606
"2008-02-01 00:00:00";1477
"2008-02-02 00:00:00";1485
"2008-02-03 00:00:00";1666
"2008-02-04 00:00:00";1645
"2008-02-05 00:00:00";1594
"2008-02-06 00:00:00";1608
"2008-02-07 00:00:00";1423
"2008-02-08 00:00:00";1478
"2008-02-09 00:00:00";1285
"2008-02-10 00:00:00";1471
"2008-02-11 00:00:00";1488
"2008-02-12 00:00:00";1580
"2008-02-13 00:00:00";1498
"2008-02-14 00:00:00";1523
"2008-02-15 00:00:00";1349
"2008-02-16 00:00:00";1312
"2008-02-17 00:00:00";1396
"2008-02-18 00:00:00";1513
"2008-02-19 00:00:00";1557
"2008-02-20 00:00:00";1422
"2008-02-21 00:00:00";1442
"2008-02-22 00:00:00";1252
"2008-02-23 00:00:00";1242
"2008-02-24 00:00:00";1346
"2008-02-25 00:00:00";1440
"2008-02-26 00:00:00";2227
"2008-02-27 00:00:00";2378
"2008-02-28 00:00:00";1751
"2008-02-29 00:00:00";1562
"2008-03-01 00:00:00";1555
"2008-03-02 00:00:00";1510
"2008-03-03 00:00:00";1080
"2008-03-04 00:00:00";601
"2008-03-05 00:00:00";1592
"2008-03-06 00:00:00";1500
"2008-03-07 00:00:00";1436
"2008-03-08 00:00:00";1485
"2008-03-09 00:00:00";1523
"2008-03-10 00:00:00";1458
"2008-03-11 00:00:00";1456
"2008-03-12 00:00:00";1454
"2008-03-13 00:00:00";1356
"2008-03-14 00:00:00";1413
"2008-03-15 00:00:00";1311
"2008-03-16 00:00:00";1452
"2008-03-17 00:00:00";1517
"2008-03-18 00:00:00";1487
"2008-03-19 00:00:00";1387
"2008-03-20 00:00:00";1371
"2008-03-21 00:00:00";1383
"2008-03-22 00:00:00";1317
"2008-03-23 00:00:00";1421
"2008-03-24 00:00:00";1557
"2008-03-25 00:00:00";1524
"2008-03-26 00:00:00";1420
"2008-03-27 00:00:00";1454
"2008-03-28 00:00:00";1404
"2008-03-29 00:00:00";1282
"2008-03-30 00:00:00";1362
"2008-03-31 00:00:00";1465
"2008-04-01 00:00:00";1644
"2008-04-02 00:00:00";1382
"2008-04-03 00:00:00";1380
"2008-04-04 00:00:00";1295
"2008-04-05 00:00:00";1156
"2008-04-06 00:00:00";1286
"2008-04-07 00:00:00";1464
"2008-04-08 00:00:00";1541
"2008-04-09 00:00:00";1592
"2008-04-10 00:00:00";1360
"2008-04-11 00:00:00";1266
"2008-04-12 00:00:00";1180
"2008-04-13 00:00:00";1341
"2008-04-14 00:00:00";1413
"2008-04-15 00:00:00";1410
"2008-04-16 00:00:00";1428
"2008-04-17 00:00:00";1291
"2008-04-18 00:00:00";1324
"2008-04-19 00:00:00";1125
"2008-04-20 00:00:00";1300
"2008-04-21 00:00:00";1372
"2008-04-22 00:00:00";1358
"2008-04-23 00:00:00";1381
"2008-04-24 00:00:00";1340
"2008-04-25 00:00:00";1163
"2008-04-26 00:00:00";1133
"2008-04-27 00:00:00";1270
"2008-04-28 00:00:00";1493
"2008-04-29 00:00:00";1460
"2008-04-30 00:00:00";1264
"2008-05-01 00:00:00";1342
"2008-05-02 00:00:00";1232
"2008-05-03 00:00:00";1246
"2008-05-04 00:00:00";1301
"2008-05-05 00:00:00";1392
"2008-05-06 00:00:00";1264
"2008-05-07 00:00:00";1312
"2008-05-08 00:00:00";1251
"2008-05-09 00:00:00";1203
"2008-05-10 00:00:00";1174
"2008-05-11 00:00:00";1340
"2008-05-12 00:00:00";1405
"2008-05-13 00:00:00";1393
"2008-05-14 00:00:00";1403
"2008-05-15 00:00:00";1366
"2008-05-16 00:00:00";1372
"2008-05-17 00:00:00";1162
"2008-05-18 00:00:00";1339
"2008-05-19 00:00:00";1626
"2008-05-20 00:00:00";1542
"2008-05-21 00:00:00";1453
"2008-05-22 00:00:00";1372
"2008-05-23 00:00:00";1243
"2008-05-24 00:00:00";1069
"2008-05-25 00:00:00";1052
"2008-05-26 00:00:00";1518
"2008-05-27 00:00:00";1717
"2008-05-28 00:00:00";1646
"2008-05-29 00:00:00";1522
"2008-05-30 00:00:00";1523
"2008-05-31 00:00:00";1217
"2008-06-01 00:00:00";1461
"2008-06-02 00:00:00";1628
"2008-06-03 00:00:00";1745
"2008-06-04 00:00:00";1667
"2008-06-05 00:00:00";1672
