"DateTime";"Microsoft[en]"
"2008-01-01 00:00:00";3921
"2008-01-02 00:00:00";5519
"2008-01-03 00:00:00";6262
"2008-01-04 00:00:00";6195
"2008-01-05 00:00:00";4922
"2008-01-06 00:00:00";5462
"2008-01-07 00:00:00";7450
"2008-01-08 00:00:00";8592
"2008-01-09 00:00:00";8148
"2008-01-10 00:00:00";8126
"2008-01-11 00:00:00";7080
"2008-01-12 00:00:00";5165
"2008-01-13 00:00:00";5632
"2008-01-14 00:00:00";7498
"2008-01-15 00:00:00";7436
"2008-01-16 00:00:00";7854
"2008-01-17 00:00:00";7489
"2008-01-18 00:00:00";6630
"2008-01-19 00:00:00";5186
"2008-01-20 00:00:00";5106
"2008-01-21 00:00:00";6446
"2008-01-22 00:00:00";7633
"2008-01-23 00:00:00";6961
"2008-01-24 00:00:00";7678
"2008-01-25 00:00:00";7346
"2008-01-26 00:00:00";5144
"2008-01-27 00:00:00";5182
"2008-01-28 00:00:00";7188
"2008-01-29 00:00:00";7323
"2008-01-30 00:00:00";7365
"2008-01-31 00:00:00";7164
"2008-02-01 00:00:00";12010
"2008-02-02 00:00:00";8858
"2008-02-03 00:00:00";7211
"2008-02-04 00:00:00";9986
"2008-02-05 00:00:00";9721
"2008-02-06 00:00:00";8230
"2008-02-07 00:00:00";8340
"2008-02-08 00:00:00";7882
"2008-02-09 00:00:00";5869
"2008-02-10 00:00:00";6451
"2008-02-11 00:00:00";8489
"2008-02-12 00:00:00";9027
"2008-02-13 00:00:00";7843
"2008-02-14 00:00:00";7486
"2008-02-15 00:00:00";7299
"2008-02-16 00:00:00";5452
"2008-02-17 00:00:00";5618
"2008-02-18 00:00:00";6953
"2008-02-19 00:00:00";8463
"2008-02-20 00:00:00";8486
"2008-02-21 00:00:00";8249
"2008-02-22 00:00:00";7581
"2008-02-23 00:00:00";5671
"2008-02-24 00:00:00";6300
"2008-02-25 00:00:00";8453
"2008-02-26 00:00:00";8387
"2008-02-27 00:00:00";9331
"2008-02-28 00:00:00";8795
"2008-02-29 00:00:00";7883
"2008-03-01 00:00:00";8048
"2008-03-02 00:00:00";7947
"2008-03-03 00:00:00";7146
"2008-03-04 00:00:00";4874
"2008-03-05 00:00:00";11059
"2008-03-06 00:00:00";9774
"2008-03-07 00:00:00";8149
"2008-03-08 00:00:00";5827
"2008-03-09 00:00:00";7419
"2008-03-10 00:00:00";8487
"2008-03-11 00:00:00";7589
"2008-03-12 00:00:00";9510
"2008-03-13 00:00:00";11102
"2008-03-14 00:00:00";10214
"2008-03-15 00:00:00";7531
"2008-03-16 00:00:00";9197
"2008-03-17 00:00:00";9638
"2008-03-18 00:00:00";8782
"2008-03-19 00:00:00";9178
"2008-03-20 00:00:00";8031
"2008-03-21 00:00:00";5715
"2008-03-22 00:00:00";5399
"2008-03-23 00:00:00";6201
"2008-03-24 00:00:00";8255
"2008-03-25 00:00:00";8879
"2008-03-26 00:00:00";8295
"2008-03-27 00:00:00";7669
"2008-03-28 00:00:00";7736
"2008-03-29 00:00:00";7681
"2008-03-30 00:00:00";6890
"2008-03-31 00:00:00";8002
"2008-04-01 00:00:00";8844
"2008-04-02 00:00:00";7776
"2008-04-03 00:00:00";9138
"2008-04-04 00:00:00";8952
"2008-04-05 00:00:00";7390
"2008-04-06 00:00:00";7646
"2008-04-07 00:00:00";9617
"2008-04-08 00:00:00";8892
"2008-04-09 00:00:00";7955
"2008-04-10 00:00:00";7262
"2008-04-11 00:00:00";6741
"2008-04-12 00:00:00";4995
"2008-04-13 00:00:00";5701
"2008-04-14 00:00:00";7850
"2008-04-15 00:00:00";8808
"2008-04-16 00:00:00";7722
"2008-04-17 00:00:00";7534
"2008-04-18 00:00:00";6532
"2008-04-19 00:00:00";5026
"2008-04-20 00:00:00";5463
"2008-04-21 00:00:00";7854
"2008-04-22 00:00:00";8028
"2008-04-23 00:00:00";6529
"2008-04-24 00:00:00";7936
"2008-04-25 00:00:00";7255
"2008-04-26 00:00:00";5751
"2008-04-27 00:00:00";6459
"2008-04-28 00:00:00";8986
"2008-04-29 00:00:00";9472
"2008-04-30 00:00:00";9127
"2008-05-01 00:00:00";8913
"2008-05-02 00:00:00";8367
"2008-05-03 00:00:00";7715
"2008-05-04 00:00:00";9476
"2008-05-05 00:00:00";9734
"2008-05-06 00:00:00";9961
"2008-05-07 00:00:00";9290
"2008-05-08 00:00:00";8827
"2008-05-09 00:00:00";17754
"2008-05-10 00:00:00";13881
"2008-05-11 00:00:00";12925
"2008-05-12 00:00:00";24188
"2008-05-13 00:00:00";24495
"2008-05-14 00:00:00";12666
"2008-05-15 00:00:00";12759
"2008-05-16 00:00:00";14497
"2008-05-17 00:00:00";22999
"2008-05-18 00:00:00";25061
"2008-05-19 00:00:00";25490
"2008-05-20 00:00:00";28098
"2008-05-21 00:00:00";26107
"2008-05-22 00:00:00";26964
"2008-05-23 00:00:00";19218
"2008-05-24 00:00:00";14333
"2008-05-25 00:00:00";15916
"2008-05-26 00:00:00";16579
"2008-05-27 00:00:00";19751
"2008-05-28 00:00:00";20173
"2008-05-29 00:00:00";15736
"2008-05-30 00:00:00";9356
"2008-05-31 00:00:00";8174
"2008-06-01 00:00:00";8744
"2008-06-02 00:00:00";13264
"2008-06-03 00:00:00";10730
"2008-06-04 00:00:00";13107
"2008-06-05 00:00:00";17186
"2008-06-06 00:00:00";9671
"2008-06-07 00:00:00";7762
"2008-06-08 00:00:00";7403
"2008-06-09 00:00:00";9468
"2008-06-10 00:00:00";10653
"2008-06-11 00:00:00";11133
"2008-06-12 00:00:00";10539
"2008-06-13 00:00:00";10162
"2008-06-14 00:00:00";8561
"2008-06-15 00:00:00";9024
"2008-06-16 00:00:00";11007
"2008-06-17 00:00:00";11364
